source,name,description,g0v_db_rows,owners,tags,github_repos,homepage
"manual",”Cofacts 真的假的",,"645,633,611,593,574,562,524,501,482,469,455,438,415,382,377,364","MrOrz,bil","事實查核","cofacts/rumors-api",
"manual","美國國會台灣觀測站",,"634","bruce","待確認","ACTtaiwan/us-tw-watch-site,ACTtaiwan/ustw-site",
"manual","LikeCoin 讚賞公民共和國",,,"williamchong007","待確認","likecoin/likecoin,likecoin/dao,likecoin/LikeCoinButton-integration,likecoin/likecoin-button-sdk,likecoin/liker-land-browser-extension,likecoin/likecoin-wordpress,likecoin/likecoin-app,likecoin/likecoin-api-public",
"manual","MyData Taiwan",,,"bafu","待確認","MyDataTaiwan/mylog14","https://www.mydata.org.tw"
"awesome-g0v","The web site.",,,"g0v","g0v基礎建設","g0v/g0v.tw",https://github.com/g0v/g0v.tw
"awesome-g0v","Logo & styles.",,,"g0v","g0v基礎建設","g0v/style-guide",https://github.com/g0v/style-guide
"awesome-g0v","glyphs",,,"g0v","g0v基礎建設","g0v/glyph",https://github.com/g0v/glyph
"awesome-g0v","common bootstrap theme and design guide for websites.",,,"g0v","g0v基礎建設","g0v/design-guide",https://github.com/g0v/design-guide
"awesome-g0v","The hackathon portal based on [hackfoldr](http://hackfoldr.org/).",,,"g0v","g0v基礎建設","g0v/hack.g0v.tw",https://github.com/g0v/hack.g0v.tw
"awesome-g0v","g0v Summit 台灣零時政府高峰會",,,"g0v","g0v基礎建設","g0v/summit.g0v.tw",https://github.com/g0v/summit.g0v.tw
"awesome-g0v","Hackfoldr Editor",,"353","g0v","g0v基礎建設","g0v/hackeditr",https://github.com/g0v/hackeditr
"awesome-g0v","Hackfoldr 2.0",,,"hackfoldr","g0v基礎建設","hackfoldr/hackfoldr-2.0",https://github.com/hackfoldr/hackfoldr-2.0
"awesome-g0v","Hacktabl 協作比較表格",,,"g0v","g0v基礎建設","g0v/hacktabl",https://github.com/g0v/hacktabl
"awesome-g0v","Dev-Env",,,"ronnywang","g0v基礎建設","ronnywang/dev-env",https://github.com/ronnywang/dev-env
"awesome-g0v","Excel Data Tool",,,"g0v","g0v基礎建設","g0v/excel-data-tool",https://github.com/g0v/excel-data-tool
"awesome-g0v","g0v hackpad 分析器",,,"g0v","g0v基礎建設","g0v/g0vTxT",https://github.com/g0v/g0vTxT
"awesome-g0v","g0v project hub",,"355,287","g0v","g0v基礎建設","g0v/projectPool,g0v/project-hub-mockup,g0v/oh-my-hub,tka/ideapool",https://github.com/g0v/project-hub-mockup
"awesome-g0v","g0v 新手村 8bit",,,"g0v","g0v基礎建設","g0v/g0village-8bit",https://github.com/g0v/g0village-8bit/
"awesome-g0v","g0v.asia",,,"g0v","g0v基礎建設","g0v/g0v.asia",https://github.com/g0v/g0v.asia/
"awesome-g0v","g0v.photos 自己的活動自己拍",,,"zbryikt","g0v基礎建設","zbryikt/g0vphotos",https://github.com/zbryikt/g0vphotos
"awesome-g0v","g0v 專案 json 產生器  (g0v.json generator)",,,"poga","g0v基礎建設","poga/metadata-editor",https://github.com/poga/metadata-editor
"awesome-g0v","g0v issue 搜尋器",,,"g0v","g0v基礎建設","g0v/issue_aggregator",https://github.com/g0v/issue_aggregator
"awesome-g0v","g0v授權中心",,,"g0v","g0v基礎建設","g0v/moc-license-center",https://github.com/g0v/moc-license-center
"awesome-g0v","g0v開放授權小幫手",,,"g0v","g0v基礎建設","g0v/cchelper",https://github.com/g0v/cchelper
"awesome-g0v","g0v開發資訊",,,"g0v","g0v基礎建設","g0v/dev",https://github.com/g0v/dev
"awesome-g0v","g0v零時資料中心",,,"g0v","g0v基礎建設","g0v/dkan-core",https://github.com/g0v/dkan-core
"awesome-g0v","g0v導覽小精靈",,,"g0v","g0v基礎建設","g0v/g0v-tour-guide",https://github.com/g0v/g0v-tour-guide/
"awesome-g0v","斧頭幫大挑戰",,,"ronnywang","g0v基礎建設","ronnywang/axe.g0v.tw",https://github.com/ronnywang/axe.g0v.tw
"awesome-g0v","逐字稿工具",,,"jessy1092","g0v基礎建設","jessy1092/coVerbatim",https://github.com/jessy1092/coVerbatim/
"awesome-g0v","短講計時器",,,"zbryikt","g0v基礎建設","zbryikt/quick-timer",https://github.com/zbryikt/quick-timer/
"awesome-g0v","零時黑板 (UI)",,,"g0v","g0v基礎建設","g0v/goban,bestian/goban",https://github.com/g0v/goban
"awesome-g0v","行政院法規線上諮詢系統 界面 2.0",,,"g0v","開放資料,開放政府,法制與政府組織","g0v/react.vtaiwan.tw",https://github.com/g0v/react.vtaiwan.tw
"awesome-g0v","匯流五法：線上徵詢",,,"g0v","開放資料,開放政府,法制與政府組織","g0v/dc.vtaiwan.tw",https://github.com/g0v/dc.vtaiwan.tw
"awesome-g0v","台灣法院判決書可分享網址產生器",,,"ronnywang","開放資料,開放政府,法制與政府組織","ronnywang/judicial-easyer",https://github.com/ronnywang/judicial-easyer
"awesome-g0v","法規亦毒氣",,,"g0v","開放資料,開放政府,法制與政府組織","g0v/laweasyread-front,g0v/laweasyread",https://github.com/g0v/laweasyread-front
